context,slot,value,label
"i will be visiting cambridge soon and definitely want to see some local attractions . can you help me ?
i can definitely help you find 1 . we have nearly 80 attractions around . can you tell me what type of attraction you prefer or an area you would like to go ?
i am looking for the best museum in the centre of town . please let me know what it is and how much i should expect to pay to get in .",attraction type,museum,
"i am looking for a place to stay . the hotel should be in the moderate price range and should include free wifi .
i have found 3 to choose from . what area would you like ? i have 2 in the north and 1 in the centre . do you know ?
i would like a 3 star place , please .
sorry , none of these place -s are 3 stars . would you like to try something different ?
what types of hotel -s are available in cambridge that have a 3 star rating and are moderate -ly priced ?
unfortunately , there are no hotel -s that fit that criteria , but there are 3 guest houses with all the other specification -s . are you interested in those ?
yes lets book 1 of those for 6 people and 4 nights starting from sunday
okay . we have you booked at the bridge guest house . your reference number is 2v8lwi7j . can i help with anything else ?
yes , i am also looking to sight see in town . can you recommend a museum ?",attraction type,museum,
"hello , i am looking for a place to go in the west . are there any museums there ?",attraction type,museum,
i am seeking a concerthall in the west part of town .,attraction type,concert hall,
"i am looking to book a place to stay in cambridge with free wifi with a moderate price range , can you help me with that ?
yes i have many options . do you have preference for what part of town you stay in ?
no preference . i am looking for a 4 star and guest house type .",attraction area,any,
i am looking for a theatre on the west side of town .,attraction area,west,
"i would like to stay at a guest house in the north .
i have 11 guest houses on the north side of town . do you have a price range or star level in mind ?
i would like it to be 4 stars .
i have several moderate -ly priced guest houses available and 1 in the less expensive range . what is your preference ?
i would prefer a moderate -ly priced 1 please .
ok that narrows it down to 7 options . do you have any other preferences to consider ?
it s have free parking .
there are 6 available and they all have free parking and wifi . may i suggest kirkwood house ?
that sounds good . what is the postcode for the kirkwood house ?
the postcode is cb4 1da . what else can i help you with today ?
i need an architecture attraction to visit in the centre .",attraction area,centre,
"i am looking for information on a restaurant called pizza hut cherry hinton .
that s a great place . here is the address g4 cambridge leisure park clifton way cherry hinton .
i would like to book a table for 5
what time would you like the reservation for ?
for 13:00 , please .
what day and how many people would you be with ?
5 people on friday , i need the reference number for the reservation as well .
i have made your reservation . your reference number is ge3rnivg . can i help you with anything else ?
yes , i am looking for something interesting to see in the centre . what would you recommend ?",attraction area,centre,
can you help me find some information about place -s to go on the west side of town ?,attraction area,west,
"i am planning a trip in cambridge .
great ! what can i help you with today ?
i need a train to leicester on thursday
please specify the time for departure
i am leaving cambridge at 15:00
tr9839 departs cambridge at 15:21 and arrives in leicester at 17:06 . it s a long trip , so load a movie on your tablet !
what is the price of the ticket ?
the ticket is priced at 37.80 pounds .
thanks so much . can you also help me find a place in town ?
i am not sure if you are referring to a place to stay or an attraction , can you be more specific please ?
i would like something architecture related in the east if possible .",attraction area,east,
"my friend was there on business last month and said i absolutely had to try a restaurant called the nirala . can you tell me about it ?
the nirala is indian food at a moderate price range in the north area . the address is 7 milton road , chesterton .
great , can you book me a table on sunday at 18:30 for 6 people ?
unfortunately , that booking was unsuccessful . would you like to try for a different time ?
how about 17:30 instead ?
yes , the booking was successful ! your reference number is gwd5rfuq .
great ! i am also looking for a place to go on the west side of town . what would you recommend ?",attraction area,west,
"i am looking to play a variety of sports . are there facilities that cater to that ?
yes , there is 1 such facility , the cherry hinton village centre , located at colville road , cherry hinton in the east side of town .
do you have anything like that in the centre ?",attraction area,centre,
"i need to find a train departing on sunday that is going to cambridge .
where are you departing from ?
i am departing from leicester .
we have 19 different trains along that route for sunday . do you have a specific time in mind ?
yes i need to leave after 18:30 on sunday and i need to make a reservation for 8 people . can you give me a reference number for the booking ?
there are 5 trains that meet your specification -s . the earliest leaves at 19:09 and arrives in cambridge at 20:54 . would you like me to book this ?
yes please book it for 8 people .
booking was successful , the total fee is 241.92 gbp payable at the station . reference number is : ple2777z
i am also looking for place -s to go in town .
there are man attraction , do you want to see arrt , music , parks ?
hmmm . . all of those sound interesting , but i am really looking for a college . are there any in the centre of town ?",attraction area,centre,
"i would like to reserve a taxi from my hotel to the airport
i would be more than happy to assist you with that however , i need some more information please .
i am sorry , i'll actually need a restaurant that s in centre and is in the moderate price range .
there are quite a few moderate -ly priced restaurant -s in the city centre . do you have a cuisine preference ?
i would prefer something latin american , if there s something in the area . nothing too expensive , but certainly not a fast food restaurant .
i do not have any moderate -ly priced restaurant -s in the centre of town serving latin american food .
how about italian food instead ?
i am sorry there no italian restaurant -s either . would you like to try a different price range or food ?
are you sure there are no moderate -ly priced italian restaurant -s in the centre ? i could have sworn someone told me about 1 . .
yes i have 2 pizza place -s to choose from . would you like me to suggest 1 and make a booking for you ?
yes , please . for 5 people at 15:15 on saturday .
done ! your reference number is c3yo3ls0 . your table will be reserved for 15 minutes . can i help you with anything else ?
im also looking for a college in the centre to visit while in town",attraction area,centre,
"can you give me the address to a museum in cambridge ?
are you looking for 1 in a particular area ?
yes , i am looking for the vue cinema . can you please tell me the attraction type , area , and address ?",attraction name,vue cinema,
"can you help me with finding a restaurant called backstreet bistro ?
certainly . it is a gastropub located in the centre of town , and the address is 2 sturton street city centre .
can you book me a table for 5 there on monday at 15:15 ?
your table has been reserved and will be held for 15 minutes . reference number rmkd81jf . would you like help with anything else today ?
i am also looking for a park in the east . do you have any suggestions ?
cherry hinton water play park east 01223446100 cb18dw cherry hinton hall , cherry hinton road free
that sounds cool . what is the cost ?",attraction name,cherry hinton water play,
"i would like to find a restaurant called rice house . do you know where it is ?
yes ! the rice house is located at 88 mill road , city centre .
could you please book me a table for 3 people at 14:30 on tuesday ?
certainly ! you are all set . your reference number is k7koy3a5 and they'll hold your table for 15 minutes . can i help you with anything else ?
thank you , yes i am also looking for a museum in town . can you recommend 1 ?
sure , i would recommend cambridge contemporary art museum located in the centre . would you like a reservation ?
i just want the phone number actually",attraction name,cambridge contemporary art,
"i want information about a place i can see local attractions .
okay ! what part of town would you like to visit ?
come to think of it , let s put that off for now . i was thinking of trying some new cuisine while we are in town . something expensive .
okay ! what cuisine would you like to try ?
i have got a couple of jamaican buddies and i want to make them feel at home .
we do not have any expensive jamaican place -s in town . do you want to try something else ?
how about something that serves african food ?
the bedouin in the city centre is an expensive african restaurant . would you like me to book it for you ?
i do not need a table right now , but i do need the postcode and phone number for that restaurant .
the phone number is 01223367660 and the postcode is cb12bd
thanks for that info . i also need attractions in the same section of town as the restaurant . do you have any boat activities ?
there are 2 in that area . they are scudamores punting co and the cambridge punter .
i want to try scudamores punting co . what is their postcode and phone number , please ?",attraction name,scudamores punting co,
"i am looking for an expensive gastropub place .
which area do you prefer . we have 2 in centre and 1 in east
just give me the area , postcode , and address for 1 of them .
ok ! the backstreet bistro is located at 2 sturton street city centre in centre and the postcode is cb12qa . is there anything else i can help with today ?
i am also looking for place -s to go in town that is in the west .
there are 13 attractions in the west . are you interested in the college , entertainment , or museum type of attractions ?
i am not picky , can you pick 1 you know is good to visit ? i need the address , phone number and type of attraction though please .
churchill college is fun to visit . it s a college . the address is storey s way . the phone number is 01223336233
okay , that sounds perfect ! that s all i need for today . thanks !",attraction name,churchills college,
"i need some help booking a train to stansted airport .
what day and time will you be traveling on ?
i will be leaving on a wednesday and want to arrive by 16:15
i have many trains available . what is your departure site and preferred time of arrival ?
i would like to leave stansted airport to go to cambridge and arrive by 16:15 .
i have train tr2488 that leaves at 15:24 and arrives in cambridge at 15:52 . would that work for you ?
yes please make a booking for 8 people .
booking was successful , the total fee is 80.8 gbp payable at the station . your reference number is m2771e7t . do you need anything else ?
yes , can you tell me the entrance fee for the cambridge museum of technology ?",attraction name,cambridge museum of technology,
"i am looking for a train that goes to cambridge from birmingham new street .
greetings , what day and time do you need a train for ?
i would like to leave on monday after 08:45 .
there are 15 trains . the earliest leaves at 9:40 . trains are every hour at 40 past after that until 23:40 . would you like to book a seat ?
yes . what is the price ?
the price for your train is 75.10 pounds . would you like me to book it for you ?
not right now , thanks . i would like more information on williams art and antiques .",attraction name,williams art and antiques,
"hi , i am looking for a train that leaves saturday after 10:15 . can you help ?
there are a lot ! can you help me narrow it down to a particular station you are going into or out of ?
i would like to leave cambridge and go to kings lynn .
tr1817 leaves at 11:11
i need 5 tickets .
i booked your train . the total fee is 39.2 gbp , which can be paid at the station . the reference number is kss4b3nk . anything else ?
yes , i am also looking for an attraction called primavera . do you have any information on this ?",attraction name,primavera,
"hi , i am looking for a particular restaurant , the restaurant alimentum .
restaurant alimentum is a modern european restaurant in the south . it is located at 152154 hills road . their phone number is 01223413000 .
could you book me a table for 1 at 12:30 on friday and could i have the reference number please ?
booking was successful . the table will be reserved for 15 minutes . reference number is : ao7b2s0g .
i am also looking for museum type attractions in the centre
there are 11 museums in the centre . is there a particular 1 that you are looking for ?
i have no idea . i have never been to any . can you make a recommendation please ?
how about castle galleries ? admission is free !
sure ! thanks for the recommendation ! i like free ! can i get a postcode and phone number for this museum ? thanks !",attraction name,castle galleries,
"i am looking for a cheap place to stay with free wifi .
i have got 9 guest houses and 1 hotel that match your criteria . would you like to narrow down by star rating or area of town ?
yeah , i would like it to be in the east area of town , if you can .
i have 3 results all in the cheap range . the names are allenbell , autumn house , and leverton house . how else may i help ?
okay , book me into 1 of those starting sunday . there will be 8 of us staying 5 nights .
okay , i have booked the allenbell guest house . the address is 517a coldham lane .
i am sorry , i just noticed that you booked starting on sunday . i had requested to check in on saturday . is that still possible ?
my apologies . your reservation has been changed to sunday . your reference number is vcmkko1k . will there be anything else ?
i would also like to explore the town . where s the nearest cinema ?
there is cineworld cinema in the south and the vue cinema in the centre .
what is the address of cineworld ?",attraction name,cineworld cinema,
"can you tell me if there are any restuarants in the west side that have singaporean food ?
i am sorry , but there are no singaporean restaurant -s in all of cambridge . would you like to try a different type of cuisine ?
yes , how about thai food ? , thanks for checking .
sala thong is a thai restaurant on the west side at 35 newnham road .
can i get the price range , postcode , and phone number for them ?",restaurant name,sala thong,
"i need to book a train for monday going to cambridge please .
there are quite a few trains that could suit your needs . can you tell me where you would like to depart from ?
i'll be at london s kings cross and wanting to leave after 11:45 am .
there is a train that leaves london kings cross at 13:17 and arrives in cambridge at 14:08 . does that time work for you ?
yes , that sounds fine . can you book me tickets for 8 people , please ?
your booking was successful . the total fee is 188.8 gbp payable at the station . the reference number is 2egcvfwc
thank you goodbye
thank you and goodbye .
before you go , could you help me find an expensive restaurant in the city centre ?
do you have a preference for the type of food ?
yes , i would like some classic british cuisine .
midsummer house restaurant serves british food . would you like me to book you a table ?
yes , that place sounds perfect . if i could book for 8 on the same day at 15:00 it would be great .",restaurant name,midsummer house restaurant,
"can you help me find a place to stay please ?
sure ! do you know what area of town you are staying in ?
i am not sure . i do want an expensive 4 star hotel with free wifi but do not need free parking .
we got none fitting your description . maybe if you can change the price range .
what about the 1 fitting the description with free parking ?
yes , we have 2 options . i would recommend the university arms hotel . would you like to book a room ?
university arms sounds delightful , please book me for 5 people and 5 nights starting on friday . can i get the reference number .
your booking was successful . your reference number is wmkjht5h . can i help you with anything else ?
i am also looking for pizza hut city centre",restaurant name,pizza hut city centre,
hi ! i need to find the restaurant pizza express fen ditton .,restaurant name,pizza express fenditton,
"do you have any recommendations for restaurant -s in cambridge ?
there are 110 restaurant -s in cambridge , is there a specific cuisine you are looking for ?
i am sorry , it is actually a train that i am looking for . i need to depart from cambridge on saturday .
well can you tell me yur destination please ?
i need to go to leicester and leave from cambridge after 18:00 . there are 8 of us , can you make a reservation and send me the reference number ?
i booked you on the tr6034 that leaves cambridge at 18:21 and arrives at 20:06 . your reference is nyxz1sor and the total fee of 241.92 is payable at the station
perfect . i am also looking for a moderate priced restaurant in the east
there are 2 indian restaurant -s and 1 italian . do either of these interest you ?
i am interested in italian .
the pizza hut fen ditton is located at cambridge retail park newmarket road . would you like me to book a reservation ?
yeah i need a table for 8",restaurant name,pizza hut fenditton,
"i would like to see a museum while i am in cambridge .
we have many types of museums . were you interested in archaeology or art , or did you have a specific 1 in mind . or a particular part of the city ?
archaeology . give me the address , please .
sure thing . you can find the museum of classical archaeology on sidgwick avenue .
could you give me a more specific address ? i also need an expensive restaurant in the center .
what type of food would you like ?
i do not care , but i would like expensive food
can you tell me what kind of food you are in the mood for ?
i do not really have a preference , just make sure it s expensive and in the centre .
i recommend the eraina which is a european restaurant . would you like for me to book a table ?
yes , book a table for 2 people at 19:15 on sunday .",restaurant name,eraina,
"i am planning a trip to cambridge i am looking for place -s to go in centre .
what type of attraction are you looking for ?
anything , really , just trying to kill some time . what s your favorite attraction ?
there are churches , boats , cinemas , museums and colleges in the city centre . would you like information on any of them ?
surprise me ! can you send me the postcode of the attraction you choose ?
you should go see holy trinity church , the stained glass there is simply amazing . the postcode is cb23nz . can i help you with anything more today ?
yes i am also looking for a moderate -ly priced restaurant in the same area .
there are 21 different restaurant -s that match your criteria . do you have a type of food you prefer ?
any food will be just fine . once you find the restaurant you want to book a table for 7 people at 13:30 on friday . if the booking fails how about 12:30 . make sure you get the reference number
just to confirm before making a booking: how about yippee noodle bar ? it is in the centre of town and moderate -ly priced . would you like this booked ?
yes , 7 people at 13:30 on friday .",restaurant name,yippee noodle bar,
"hi , i am planning a trip to cambridge and need some help with restaurant -s .
dojo noodle bar is located at 40210 millers yard in the city centre .
actually , i am looking for an expensive restaurant in the west area .
there are 9 expensive restaurant -s in the west . is there a type of cuisine you would like to try ?
how about indian food ? anything good in the west for that ?
there are 5 indian restaurant -s that meet your criteria . may i suggest tandoori palace at 68 histon road in chesterton ?
that will be good , for 5 at 17:15 on tuesday , please .",restaurant name,tandoori palace,
my friend was there on business last month and said i absolutely had to try a restaurant called the nirala . can you tell me about it ?,restaurant name,nirala,
"i need help finding a chinese restaurant located near the centre .
there are 10 chinese restaurant -s in the centre . is there a price range you would like to stay within ?
not really . can you recommend 1 ? i'll need the contact information .
jinling noodle bar is at 11 peas hill city centre . there phone number is 01223566188 . would you like me to book you there ?
great i also need some information on the lensfield hotel",restaurant name,jinling noodle bar,
"i am looking for the attraction whipple museum of the history of science .
the whipple museum of history of science is located at free school lane in the centre area . the phone number is 01223330906 .
great , thanks for that . can you tell me what area of the city that s in , and what their entrance fee is ?
they are located in the centre and no admission fee .
thank you , can you also find an indonesian restaurant for me ? i would prefer if it were expensive .
i am sorry but there are no restaurant -s that match your request . would you like to try a different price range or food type ?
is there an expensive indonesian restaurant in the town centre by chance ?
no there is not . may i try a different area ?
no , please stay in the centre , but lets try a gastropub .
i got 2 options , there is backstreet bistro and the slug and lettuce , which 1 could you prefer ?
slug and lettuce would be a fine choice , i need a table on friday for 2 people at 11:15 .",restaurant book day,friday,
"hello , i am looking for information about a restaurant called rice boat .
rice boat restaurant is located on 37 newnham road . the phone number is 01223302800 . the restaurant serves upscale indian cuisine .
ok , i need to make a reservation for monday at 13:30 .",restaurant book day,monday,
"i need a train out of cambridge , to arrive by 20:00 .
just to clarify a train from cambridge , correct ? where will it be to and what date & time ?
i am going to london s kings cross on monday .
i have tr2289 leaving at 7:00 and arriving at 7:51 . would you like reservations ?
what is the price of a ticket ?
1 ticket to london kings cross will cost 23.60 pounds . would you like me to book the ticket for you ?
yes . can you also find a place to dine in the centre . i would like a restaurant in the moderate price range .
ok , i have 21 options for you ! any particular cuisine ?
italian would be nice thank you
okay . pizza express would suite your needs , would you like me to make you a reservation ?
yes . i need a table for 8 people at 16:15 on the same day .",restaurant book day,monday,
"i am planning my trip to cambridge and am trying to find european food , can you help me ?
you should go to the centre . there are a few european place -s there .
can you help me narrow that down a little ? can you provide the name of an expensive european restaurant that is in the centre ?
i have 3 . european and modern european . which do you prefer ?
the first 1 sounds good . can you book a table for 5 on thursday at 11:00 ?",restaurant book day,thursday,
"i need a place to go in the centre .
there are many great attractions in centre , do you have a particular type in mind ?
i do not have anything specific in mind , what are some of the most popular attractions in the centre ?
there are a lot of architecture type of attractions available . would like information about 1 of those ? perhaps , a church like all saints church ?
i need their postcode please .
sure . postcode is cb58bs and they are located on jesus lane .
thanks ! i also need a restaurant in the centre .
we have many excellent choices in the centre . do you have a preference for type of food or price range ?
no specific food type
i would recommend the yippee noodle bar unless you would like to narrow your search down further by food type or price range ?
i am looking for something upscale in the expensive price range .
i have 5 restaurant -s available in the centre of town in the expensive price range . do you have a food preference ?
no , can you recommend 1 and book a table for 7 people ?
i would recommend midsummer house in the centre of town . it s expensive . what day and time would you like for me to reserve you a table ?
it will be on wednesday at 12:30 .",restaurant book day,wednesday,
"hello , i am looking for information about a restaurant called rice boat .
rice boat restaurant is located on 37 newnham road . the phone number is 01223302800 . the restaurant serves upscale indian cuisine .
ok , i need to make a reservation for monday at 13:30 .
ok . how many people should i book the table for ?
i need it for 1 person for wednesday at 13:30 .",restaurant book day,wednesday,
"i am looking for an expensive , centrally located restaurant .
there are options for british food as well as asian and african food in that price range . which sounds most appealing to you ?
i do not care either way .
okay , how about the bedouin ? it s in the centre of town and has african food .
that sounds interesting ! i would like to book a table for 6 at 12:15 on thursday .",restaurant book day,thursday,
"i am looking for a place to eat in the moderate price range in the centre of town please .
there are a lot of restaurant -s that meet your criteria . do you have a food type preference , or would you like a recommendation ?
a recommendation would be fine .
alright , how about the yippee noodle bar ?
that should be fine . please book a table for 4 people at 13:30 on saturday .",restaurant book day,saturday,
"i would like a restuarant in the north with expensive food .
there are 5 place -s , which type of food do you prefer ?
surprise me , i just want something pricey to impress my friends . it'll be a party of 7 .
i found 5 restaurant -s , what day and time would you like to go ?
how about monday at 19:15 .",restaurant book day,monday,
"i am going to cambridge and would like to find a place to eat locally . can you suggest a good place ?
there are several hotel -s that match that description . what kind of food are you interested in and what is your price range ?
i am sorry , actually i need to find a train departing from cambridge going to ely on wednesday . i need to arrive by 21:30 .
train tr6745 leaves cambridge on wednesday at 15:50 and arrives at ely at 16:07 . would you like to book it ?
yes , please , i need a booking for 7 people .
i was able to book it , reference number is ghnb4f22 .
thanks , i need to find a place for dinner too please . chinese place in the north if there is anything available .
there are 3 restaurant -s that meet your criteria . do you prefer an expensive or moderate price range ?
we are celebrating so how about in the expensive price range ?
i can recommend the hotpot , it is very good . when would you like the reservation to be for ?
we want to eat around 13:15 so we have enough time to eat and still catch the train .",restaurant book day,wednesday,
"hello . i need to find a place that serves halal food in the city .
sorry , i could not find any restaurant -s like that . want to try a different type of food ?
are there any restaurant -s in the centre that serve british food ?
yes , there are actually 7 . does cost concern you ?
no the price does not matter as long as it is in the centre .
ok , how about fitzbillies restaurant ?
perfect . can you book a table for 1 at 18:30 on sunday ?",restaurant book people,1,
"i am looking for the attraction whipple museum of the history of science .
the whipple museum of history of science is located at free school lane in the centre area . the phone number is 01223330906 .
great , thanks for that . can you tell me what area of the city that s in , and what their entrance fee is ?
they are located in the centre and no admission fee .
thank you , can you also find an indonesian restaurant for me ? i would prefer if it were expensive .
i am sorry but there are no restaurant -s that match your request . would you like to try a different price range or food type ?
is there an expensive indonesian restaurant in the town centre by chance ?
no there is not . may i try a different area ?
no , please stay in the centre , but lets try a gastropub .
i got 2 options , there is backstreet bistro and the slug and lettuce , which 1 could you prefer ?
slug and lettuce would be a fine choice , i need a table on friday for 2 people at 11:15 .",restaurant book people,2,
"hi , can you help me with my planning ? i need some ideas on place -s to go in town .
do you have a type of attraction you would like to see ?
i would like to visit a museum .
sure , i can help you with that . was there a particular area of town you were looking at ?
i will take your recommendation for 1 . could you provide me with the address and area of the 1 you choose ?
i would highly recommend cambridge artworks located at 5 greens road . it is located on the east side of town .
can i get a reservation please ?
no reservations needed and its free which makes it even better
great ! can you find a restaurant for me too ?
of course . what type of food ?
i would prefer french food .
restauranr 2 two is a nice place , would you like me to book it for you ?
is that in the expensive price range ?
yes it is in the expensive price range .
okay , great . could you book it for me for 5 people on thursday at 12:45 ?",restaurant book people,5,
"i am looking for a train that goes to cambridge and arriving by 17:30 .
i can assist you with that . can you tell me where you would be departing from ?
i would like to depart from stansted airport on saturday .
sure , their is a train that leaves at 9:24 am . does that work ?
that is a little early . is there 1 that arrives closer to 17:30 .
train tr7078 leaves at 16:24 and arrives by 16:52 with a travel time of 28 minutes . would you like to book a seat ?
yes , 5 people , please . reference number , please .
your booking was successful and the reference number is 28uyg6jr . is there anything else i can help you with ?
yes i am also looking for a restaurant in the centre and serves gastropub food . in the expensive price range please .
there are 2 restaurant -s that fit your criteria: backstreet bistro and the slug and lettuce . does either of those appeal to you ?
let s go for the slug and lettuce just because the name is so intriguing . book that for the same group of people , please , at 20:30 , on the same day .",restaurant book people,5,
"i would like to try some chinese food while i am visiting cambridge .
there are 17 different chinese restaurant -s . is there a specific price range or area of town you would like to stay in ?
moderate -ly priced in the centre . i need a reservation for 4 at 13:45 on wednesday and the reference number as well .",restaurant book people,4,
"i need to find a hotel in cambridge that s moderate -ly priced . i do not need to have free parking included for my stay .
there are 4 possibilities , 1 is a hotel and the others are guest houses . do you have a preference for 1 or the other ?
i do not . are any of those place -s located in the centre ?
only 1 is located in the centre . the cityroomz which also has free wifi . would you be interested in booking this hotel ?
yes , that sounds splendid . i would like to book a room there for 6 people for 2 nights , and i would like the reference number , please .
what night would you like to begin your stay ?
i would like to stay starting tuesday night
i have booked the cityroomz hotel for 2 nights , starting this tuesday , for 6 people .
that is great ! how much ?
i apologize i do not have the price . it is in the moderate price range however .
i see . that sounds great . thank you . could i get a reference number please ?
your reference number is : eb05kfxv . will there be anything else today ?
i also need a restaurant that serves turkish food please .
there are 3 turkish restaurant -s , all in the center of town . the meze bar is expensive , but the other 2 are more moderate . would you like to book a table ?
the meze bar is fine . book it for 6 at 14:15 on tuesday",restaurant book people,6,
"i need a train leaving from london liverpool street .
i'll be happy to look that up for you . what day and time would you like to leave ?
i would like to leave saturday after 18:30 .
will you be traveling to cambridge ?
no i will be going to ely .
you are speaking to the cambridge help desk , so we can only book a train if you are leaving from or heading to cambridge . cambridge to ely ?
no , going to cambridge and leaving london liverpool st . i am leaving saturday and want to leave sometime after 18:30
tr3940 leaves liverpool st at 19:39 and arrives in cambridge at 21:07 . will that work for you ?
how much will that ticket be ?
the cost is 13.28 pounds . would you like to make a reservation ?
no that s fine . i also need to find a cheap restaurant .
sure , i can help with that . is there a specific part of town you were looking for ?
i do not really care where it s at , but i would prefer that it serve international food . is there anything like that in town ?
the missing sock would suit your needs . can i book it for you ?
sounds great ! can you please book a table for 3 for the same day at 21:00 .",restaurant book people,3,
"i am leaving cambridge . i need a train that leaves after 13:45 .
on what day do you wish to travel ?
i am traveling on wednesday and need to go to birmingham new street please .
tr1766 . it is going to take 163 minutes . can i book it for you ?
yes , can you book 4 tickets for me ?
i have you booked on tr1766 leaving cambridge at 18:01 arriving birmingham new street at 20:44 . your reference number is 6l0manzv . can i help with anything else ?
also looking for a place that has british food and moderate -ly priced .
i have many options for you . they are all in the city center . do you have any other preferences ?
what are my options ?
there are 4 in the centre area and 1 in the west . do you have a preference between the area -s ?
no , i do not .
restaurant 17 suits your needs . can i make a booking for you ?
i have heard good reviews of that restaurant . please make a reservation for 10:30 on wednesday for 4 people , please .",restaurant book people,4,
"can you help me find a place to stay ? it'll need to have free parking .
they are many . what is your price range and prefered side ?
i just am looking for a 1 star hotel in the north .
i am sorry , there are not any hotel -s that meet your criteria . would you like to try something else ?
sure . how about 4 stars ?
that narrows it down to about 7 options . i have 6 moderate -ly priced ones , and 1 cheap -er 1 . do you have a preference ?
a moderate priced 1 will be fine . any will do . i'll need it booked for wednesday . i will be staying 2 nights with 6 people .
okay , i made you a reservation at the acorn guest house . your reference number is 5msb4h92 . can i do anything else for you today ?
now i need a place to dine . cheap and belgian food sounds good .
i do not have anything matching that criteria . is there another type of food you would like to try ?
how about indian food ?
what area would you like to be in ?
the area does not matter .
there are 4 indian restaurant -s that meet your criteria . i would recommend kohinoor . i really enjoy their food .
can you reserve a table for me ?
sure , what day , time , and number of people would you like to book it for ?
i would like the booking for wednesday at 19:45 for a group of 6",restaurant book people,6,
"i haven't had eritrean in forever and would like to have some . please find me a moderate -ly priced restaurant that serves it
i am sorry , there are no restaurant -s like that in cambridge .
how about something in the centre of town ?
there are 21 restaurant -s in the centre of town . do you have another cuisine type ?
i would really prefer european food if you can find that for me .
there are 4 moderate -ly priced options . i recommend galleria .
galleria sounds great ! can you book a table for 8 people at 19:00 on wednesday ?",restaurant book people,8,
"my friend was there on business last month and said i absolutely had to try a restaurant called the nirala . can you tell me about it ?
the nirala is indian food at a moderate price range in the north area . the address is 7 milton road , chesterton .
great , can you book me a table on sunday at 18:30 for 6 people ?
unfortunately , that booking was unsuccessful . would you like to try for a different time ?
how about 17:30 instead ?",restaurant book time,17:30,
"where are some restaurant -s that serve mediterranean dishes that are in the low to moderate price range ?
hello , the gardenia is 1 option which is located centrally , may i make a reservation for you ?
is that 1 cheap ? i do need a cheap place .
yes , that restaurant is cheap . would you like a reservation ?
yes if it is cheap and in town centre i would like to book a table for 3 people on saturday please .
alright , what time would you like to make your reservation for ?
i would like you to book my reservation for 3 people at 16:00 on a saturday .
the gardenia is not available at 16:00 . would you like to change the time or day ?
how about 15:00 then ?",restaurant book time,15:00,
"i am in the mood for swedish food , but i want something in the centre of town .
i am sorry , there are no swedish restaurant -s in the area . do you have another cuisine you would like to try ?
what about chinese ?
i have 10 chinese restaurant -s in the centre area . what price range would you like ?
could you recommend 1 ?
charlie chan is amazing and cheap ! would you like me to book it for you ?
yes please ! i would like a table for 5 on monday at 15:15 .",restaurant book time,15:15,
"i am looking for an expensive hotel in cambridge that offers free wifi for guests .
express by holiday inn cambridge is a nice 1 . do you want to book ?
what part of town is it located in ?
it is located in the east . do you need a reservation ?
i am actually looking for something in the centre part of town . is the 1 you mentioned a 5 star ?
there are 2 expensive hotel -s in the centre of town . 1 is rated 4 stars and the other 3 stars . the 1 i mentioned earlier is only rated 2 stars .
i would like more info on the 3 star please .
gonville hotel has free wifi and parking , and is located at gonville place , cb11ly . their number is 01223366611 . want to book ?
thats sounds perfect . but , i do not need to book today . although , can you tell me their star rating ?
their star rating is 3 .
ok . i also need to find a restaurant .
ok . do you have a food preference , or maybe a part of town you would like the restaurant to be in ?
i would like to find an indian restaurant that is in the expensive range .
there are many expensive indian restaurant -s , could you narrow it down by location or would you like for me to make a recommendation ?
make a recommendation please .
curry garden is an expensive indian restaurant located in town centre .
can you make a reservation for saturday for 7 people at 15:15 ?",restaurant book time,15:15,
"i am looking for a vietnamese restaurant in the west area .
thanh binh is a vietnamese restaurant in the west area . 17 magdalene street city centre
is this in the cheap price range ?
i have 1 listing in the cheap range for thanh binh .
would it be possible to make a reservation ?
i would love to help . how many people and what day and time ?
i need it for 1 for 18:15 on monday .",restaurant book time,18:15,
"i am traveling to cambridge and i am looking for an attraction called downing college .
downing college is located in the centre of town on regent street , postal code cb21dq . is there anything else i can do for you ?
no thank you . that is all .
ok , thank you and have a wonderful day .
wait , i just realized i am hungry for european food . are you still there ?
i have 11 european restaurant -s to choose from .
i need something in the moderate price range in the centre of the city .
hotel du vin and bistro is a moderate -ly priced restaurant in the center of town . would you like to book a table there ?
yes , please . table for 8 at 15:45 on sunday",restaurant book time,15:45,
"i would like to see a museum while i am in cambridge .
we have many types of museums . were you interested in archaeology or art , or did you have a specific 1 in mind . or a particular part of the city ?
archaeology . give me the address , please .
sure thing . you can find the museum of classical archaeology on sidgwick avenue .
could you give me a more specific address ? i also need an expensive restaurant in the center .
what type of food would you like ?
i do not care , but i would like expensive food
can you tell me what kind of food you are in the mood for ?
i do not really have a preference , just make sure it s expensive and in the centre .
i recommend the eraina which is a european restaurant . would you like for me to book a table ?
yes , book a table for 2 people at 19:15 on sunday .",restaurant book time,19:15,
