context,slot,gold,pred,label
"it s sunday and i am bored . do you have any trains into cambridge today ?
there are many trains , when would you like to depart ?
i would like to leave from kings lynn after 9:30 .
tr5928 leaves at 10:11 , would you like me to book that for you ?
can you give me the price of a ticket ?
tickets are 7.84 pounds . can i book that for you ?
great i also need to find a place to stay that does not need to have free parking and is in the cheap price range .
there are 33 hotel -s in the cheap range , any preference on area or anything else ?
cheap price range in the centre .
there are 2 choices . alexander bed and breakfast and el shaddai . do you want to make a reservation at 1 of these choices ?
i will take alexander please .
to confirm you want me to book you a room at alexander bed and breakfast starting on sunday . how many nights will you be staying ?
yes . please book it for 2 people for 2 nights on sunday .
i am sorry , alexander bed and breakfast is unavailable for those nights . would you like to try another day or just 1 night instead ?
actually , let s back up . i need a place with a star rating of 0 , in the centre , with free parking . does the alexander have 0 stars ?
i have the el shaddai that is cheap and located in the centre . they have a 0 star rating and offer free parking and free wifi . would that work for you ?",hotel parking,yes,no,
"are there any parks in town , by chance ?
there is 1 in the centre , 1 in the east , 1 in the north and 2 in the south . will 1 of these work for you ?
could i get the address for the 1 in the centre ?
sure . the cambridge university botanic gardens are located at bateman street .
i need its address and phone number .
the address is bateman street , postcode cb21jf and the phone number is 01223336265 .
thanks . i also need a place to get afternoon tea in the west .
there are no restaurant -s serving afternoon tea in the west .",restaurant food,afternoon tea,,
"it s sunday and i am bored . do you have any trains into cambridge today ?
there are many trains , when would you like to depart ?
i would like to leave from kings lynn after 9:30 .
tr5928 leaves at 10:11 , would you like me to book that for you ?
can you give me the price of a ticket ?
tickets are 7.84 pounds . can i book that for you ?
great i also need to find a place to stay that does not need to have free parking and is in the cheap price range .
there are 33 hotel -s in the cheap range , any preference on area or anything else ?",hotel parking,any,no,
"yes , i would like an expensive hotel in the center and what type of attraction is in the area in walking distance ?
would you like me to find a hotel first or the attraction ?
i am actually looking for a train . i need to go from kings lynn to cambridge on tuesday . i need to leave after 19:15 .
tr4809 departs at 20:11 , would that work for you ?
that would be great . i need to reserve seats for 4 people on that train .
you are all set . the total fee is 39.2 gbp payable at the station the reference number is 1i1uskbs
thanks ! oh , i am also looking for place -s to go in town at the city centre . i need some form of entertainment . can you help ?
there are many different attractions in centre . is there a certain type that you would like ?
an entertainment attraction would be nice .
sorry , i got no results for entertainment in centre , is there something else i can look for ?
can you search for a theatre instead ?
there are 4 theaters in the area , the adc theatre , cambridge arts theatre , mumford theatre and the cambridge corn exchange . let me know if any of those appeal to you .
can you give me the phone # , address , and postcode for the adc theatre ?",train destination,,cambridge,
"i want to find a moderate -ly priced place to stay that has at least a 3 star rating
which side of town do you prefer ?
any area is okay as long as the hotel include -s free parking . i do not need internet .
bridge guest house has all that you need , would you like to book that ?
yes please book it for 1
what day would you like ?
3 days and get me phone number , postcode , and address please
i will need the day you plan on arriving .
actually i am do not need to book a room just yet but can you provide the phone number , postcode , and address .
all right , sure . the postal code is cb28rj and the address is 151 hills road . their phone number is 01223247942 . anything else ?
i am also looking for a molecular gastronomy place to eat , moderate price .",hotel internet,no,,
"i would like to find in cambridge , a restaurant , located in the centre area . i love spanish food .
i have la tasca downtown here at 1416 bridge street .
the restaurant should be in the expensive price range
i do not have any in the centre , another criteria perhaps ?
how about african food ?
i was able to find bedouin , would you like to try that ?",restaurant food,african,spanish,
"hello , i am looking for a restaurant that is in the town centre that serves chinese food .
there are many restaurant -s that fit your specification -s . do you have a price range in mind ?
the moderate price range would be best .
i found 3 moderate chinese restaurant -s . would you like to book at jinling noodle bar ?
yes please . please provide the phone number before you book .
the phone number is 01223566188 . is there anything else i can help you with today ?
yes , i am also looking for a train departing after 8:45 to bishops stortford .
i can help you with that , where will you be departing from ?
from cambridge on saturday .
the closest , unfortunately , is the tr3396 that departs at 09:29 , which does leave a 44 minute wait for you . do you still want me to book this for you ?
could you give me the price for this train , please ?",train leave at,08:45,09:29,
"can you help me find a train departing from cambridge going to kings lynn ?
of course , what day are you traveling ?
i want to leave on thursday and arrive by 14:00 .
we have 9 trains arriving by 14:00 that day . what time are you looking to leave by ?
i do not have a specific time to leave but i do want to arrive before 14:00 . how much will this cost ?
the price is 9.80 pounds per ticket . would you like me to book you passage ?",train leave at,any,,
"i am looking for a cheap guest house to stay in for my trip to cambridge .
i have 9 entries matching your request . do you have a preference for area ?
preferably in the west side of town . i would also like something 4 star rated if possible .
there are 7 guest houses that meet your criteria . might i recommend alexander bed and breakfast ?
does it have a 4 star rating and internet ?
finches bed and breakfast is located in the west . it is an inexpensive 4 star guest house with internet and parking . would you like me to book a room for you ?
that s all the info i needed can you find me a concerthall in the south ?",hotel internet,yes,,
"i was not planning to stay in town tonight , but it looks like i am going to have to . can you help me find a pretty cheap room ?
the the cambridge belfry is a hotel in the west part of town in the cheap price range . would you like me to book a room for you ?
i am looking for a cheap place to stay including free parking
the cambridge belfry is cheap and include -s free parking and wifi . would you like to book a room ?
how many stars does it have ? i would like a cheap place in the west with 4 stars and free parking .
yes , the cambridge belfry is a cheap 4 star hotel that include -s free parking .
do they have internet there ?
yes , there is free internet provided . would you like me to book a room ?
sure you can book that for me , thank you !",hotel internet,yes,,
"hello , i am looking for some sports arenas to go to in cambridge that s located in the centre . i like all different sports , so please tell me everything that is available .
i do not have any sports located in the centre . may i try a different area ?
what about boats instead ?
the cambridge punter is located in 251a chesterton road , cb41as . can i give you the phone number ?
i do not need the phone number . thank you .
is there anything else i can do to assist you today ?
i am also looking for any information you might have on gonville hotel .
the gonville hotel is an expensive 3 star hotel in the centre that offers free wifi and parking . would you like a room ?
yes can you book that please ?
yes , i can . when would you like to begin your stay ? how many people will be staying ? how many days will you be staying ?
actually , i just need their phone number , please .",attraction type,boat,sports,
"i am looking for things to do on the west side of cambridge . is there anything you can recommend ?
there are 13 different attractions on the west side . you have your choice of colleges , an entertainment venue , and museums . which would you prefer to learn more about ?
the entertainment venue sounds like a lot of fun . what is the address ?
an entertainment venue meeting your request is whale of a time . the address is unit 8 , viking way , bar hill .
perfect , thanks . oh ! i am also quite hungry , can you recommend an expensive restaurant in town that serves molecular gastronomy cuisine , please ?
unfortunately , i do not have any restaurant -s that serve molecular gastronomy cuisine at the moment . can i look for another type of cuisine for you ?
are there no molecular gastronomy restaurant -s in the west side or in the entire city ?
unfortunately there are none in the city . would you like to try another type of food ?
how about an indian restaurant ?
i have 5 different indian expensive restaurant -s in the west . might i recommend the india house . they have great reviews .",restaurant food,indian,molecular gastronomy,
"i would like to eat not too pricy or cheap in centre of town .
there are 21 available restaurant -s . do you want to specify food type ?
no . can you recommend something ?
how do i get to restaurant 17
i am not sure what you are asking me ? i would like a recommendation for a restaurant , please .
i am so sorry about any confusion . i have asian oriental food at yippee noodle bar , and british food such as the oak bistro .
actually , i would like turkish food .
i found 2 restaurant -s , anatolia and efes restaurant , which would you like to book ?
what is the price range of these 2 restaurant -s ?
both of these are in the moderate price range .
i need the address and post code for anatolia
the address is 30 bridge street city centre and the postal code is cb21uj .
perfect , i am also looking for a train departing stansted airport to cambridge . i would like to leave sunday after 14:45 . could you let me know the price of any trains ?
all 9 trains that fit your request cost 8.08 pounds per ticket . the earliest is the tr9680 that leaves at 15:24 .
this train works for me .
would you like me to book that train for you ?
sure and can you confirm the price for the 15:24 tr9680
the price for that train is 8.08 pounds . i will need to know how many tickets you would like before booking please .
i only need 1 ticket please .",restaurant food,turkish,any,
"i am looking for a train departing from cambridge on wednesday .
okay . what is your destination ?
i am attending a seminar in ely .
there are 10 trains on that route starting at 05:50 . to make sure i book the right 1 what time do you need to arrive ?
well , i just want to leave after 9:15 .
alright , there are 8 options . the earliest train after 09:15 leaves at 09:50 and the latest at 23:50 , each takes 17 minutes . do you have a preference ?
the 9:50 train will be fine . i'll need to book for 6 people . can i please have the reference number ?
your tickets have been booked . your total is 26.4 gbp and will be payable at the station . your confirmation is 04q2g0gu .
great i also need a moderate priced place to stay with free wifi .
that gives us about 17 options . is there a certain area in the city you prefer to stay in ?
i definitely need it to include free parking .
what area of town do you prefer ?
i do not have an area i prefer , can you recommend something ?
i recommend archway house . it s a guest house moderate -ly priced located on the north side . will that work for you ?",hotel type,,hotel,
"i sure hope so . i would like to find a place to stay , with 4 stars , in the north .
i have about 8 options for you . they are all guest houses . do you have a preferred price range ?
price is not of any concern , just so it has a 4 star rating .
what dates would you like to stay ?
oh , i think i forgot to mention that it needs to be a 4 star guest house . i want to book saturday for 7 people 2 nights .
all the 8 hotel -s are 4 star hotel -s . i recommend the avalon or the archway house . should i book 1 of those for you and your party ?
yes , please book a reservation .
i have successfully booked you for avalon . reference number is ri8wlx7e . do you need anything else ?
thank you ! i also need info on trains that are leaving cambridge .
sure , where are you headed ?",hotel name,"archway house, avalon",,
"i want a restaurant in the city centre that serves italian food .
there are 9 listings available . what price range were you interested in ?
i am interested in a restaurant that is in the expensive price range .
clowns cafe is a restaurant in the city centre with that price range . would you like to make a reservation ?
sure ! how close is the cafe from my current location ?
the clowns cafe is in the centre area . would you like me to book you a reservation ?
yes , please . i would like a table for 6 at 18:45 on friday .
booking was successful . the table will be reserved for 15 minutes . reference number is : f29amxp7 .
i also need to hotel to stay at in the centre .
there are 3 hotel -s in that area . would you prefer a moderate -ly priced or expensive hotel ?
no price range , it does not have to have internet though .
cityroomz is moderate with 0 stars , gonville hotel has 3 stars and is expensive , university arms is also expensive and has 4 stars ? will any of these do ?
are they all hotel -s or guest houses ?
they are all hotel -s . is this acceptable ?
sure can i get 1 with free wifi please ?
they all have free wifi . is there a star rating you prefer ?
no just book me rooms for 6 people for 2 nights .
non of the hotel -s were available for 2 nights starting on friday . would you prefer another date or area .",hotel book day,friday,,
"i am looking to find a place to eat in the centre of town that needs to have a moderate price range . can you give me some options ?
there are quite a few options in the centre of town . there s chinese , italian , spanish , turkish and british food just to name a few . what would you like ?
is there a lebanese option ? i am really craving some lebanese right now .
yes ! ali baba is a great lebanese restaurant that would suit your needs . it s located at 59 hills road city centre . what other information do you need ?
can you please get me a reservation at ali baba for tonight at 7pm ?",restaurant book time,19:00,20:00,
"i would like a guest house with free wifi please .
we have 23 different options available . is there an area you would prefer ?
i am looking for something expensive in the north .
there are no expensive guest houses in the north with free wifi .
ok , how about a moderate -ly priced 1 ?
there are 8 moderate -ly priced guest houses in the north . may i suggest the 4 star acorn guest house ?
are there any expensive hotel -s in the north ? i plan on staying with 4 other people for 4 nights , starting wednesday .
do you have a parking preference ?
no parking preference . can you please recommend 1 .
i am sorry . i am not finding any hotel -s in the expensive price range in the north . would you like to change your search ?
can you check for moderate price range instead ?
the acorn guest house is moderate -ly priced , in the north . they offer free wifi as well . would you like me to book you a room ?
sure , i need it for 5 people and 4 nights from wednesday .
booking was successful . reference number is : fc2bdic9 .
i also need a train on wednesday , leaving from kings lynn .
when would you like to leave or arrive in cambridge by ?
yes , i would like to arrive in cambridge by 18:45 please .
ok the tr3677 will get you there at 17:58",hotel type,hotel,none,
